신한 S20 체크카드,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,
모두의 일상 체크카드,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,
카드의정석 POINT CHECK x 아기상어,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,
쏘영 체크카드,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,
민 체크카드,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,
케이뱅크 플러스 체크카드,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,
카카오페이 체크카드,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,
올리 POINT 체크,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,
쿠팡 신한카드 체크,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,
NH1934 체크카드,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,
신한플러스 멤버십 체크,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,
누리체크카드,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,
NH올원체크카드,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,
ONE 체크카드,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,
다드림 체크카드,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,
카드의정석 SSO3 CHECK,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,
일상의 기쁨카드(체크),T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,
스타체크카드,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,
신한카드 S-Line 체크(마이펫),T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,
신한카드 국민행복 체크,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,
배달의민족 우리체크,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,
New 현대백화점 체크카드,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,
씨티 캐시백 체크카드,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,
VIVA+ 체크카드,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,
신한카드 4Tune 체크,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,
Global체크카드,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,
농부의마음 Farmers Heart 체크카드,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,
삼성체크카드 & CASHBACK,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,
현대카드M CHECK,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,
갤러리아 체크카드,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,
신한카드 주거래 체크,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,
라이프+플러스 체크카드,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,
가온체크카드,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,
TEENS(틴즈) PLUS PONEY 신한카드 체크,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,
FANtastic S 신한카드 체크,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,
아시아나 체크카드,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,
신한카드 Finnq(핀크) 체크,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,
카드의정석 APT CHECK,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,
우리 아이행복체크카드,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,
신한카드 하이패스(전용) 체크,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,
카드의정석 L.POINT CHECK,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,
하이틴즈 체크카드,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,
정 체크카드,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,
비바2 플래티늄 체크카드,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,
신한 S20 Pink(핑크)체크카드,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,
케이뱅크 X KT멤버십더블혜택 체크카드,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,
국민행복체크카드(비씨),T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,
샘 쏘영 체크카드,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,
리틀프렌즈 체크카드,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,
요기요 신한카드 체크,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,
배달의민족 비장의카드 V.2,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,
신한카드 S-Line 체크,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,
L.pay 신한카드 체크,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,
드림플러스 아시아나 체크카드,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,
카드의 정석 SSO3 NEW-TRO CHECK,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,
체크카드,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,
올바른GLOBAL체크카드,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,
현대카드M HYBRID,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,
